Description,Name,Symbol,Symbol-Display,Unicode,Type,Role,Voice,Place,Manner,Flap,Lateral,Liquid,Glide,Sonority,Back,Central,Front,Close,Mid,Open,Round,Rhotic,EML
Tone number 5,Tone 5,⁵,◌⁵,0x2075,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 6,Tone 6,⁶,◌⁶,0x2076,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 7,Tone 7,⁷,◌⁷,0x2077,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 8,Tone 8,⁸,◌⁸,0x2078,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 9,Tone 9,⁹,◌⁹,0x2079,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Voiceless labiodental stop,Lower-case P; subscript bridge,p̪,p̪,0x70 + 0x32a,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced labiodental stop,Lower-case B; subscript bridge,b̪,b̪,0x62 + 0x32a,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless dentolabial stop,Lower-case P; superscript bridge,p͆,p͆,0x70 + 0x346,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced dentolabial stop,Lower-case B; superscript bridge,b͆,b͆,0x62 + 0x346,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless labioalveolar stop,Lower-case P; subscript equals,p͇,p͇,0x70 + 0x347,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced labioalveolar stop,Lower-case B; subscript equals,b͇,b͇,0x62 + 0x347,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless linguolabial stop,Lower-case T; subscript seagull,t̼,t̼,0x74 + 0x33c,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced linguolabial stop,Lower-case D; subscript seagull,d̼,d̼,0x64 + 0x33c,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless interdental stop,Lower-case T; subscript and superscript bridge,t̪͆,t̪͆,0x74 + 0x32a + 0x346,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced interdental stop,Lower-case D; subscript and superscript bridge,d̪͆,d̪͆,0x64 + 0x32a + 0x346,Consonant,base,1,,,,,,,,,,,,,,,,
Bilabial nareal fricative,Lower-case M; superscript dotted tilde,m͋,m͋,0x6d + 0x34b,Consonant,base,,,,,,,,,,,,,,,,,
Dentolabial nasal,Lower-case M; superscript bridge,m͆,m͆,0x6d + 0x346,Consonant,base,,,,,,,,,,,,,,,,,
Labioalveolar nasal,Lower-case M; subscript bridge,m͇,m͇,0x6d + 0x347,Consonant,base,,,,,,,,,,,,,,,,,
Linguolabial nasal,Lower-case N; subscript seagull,n̼,n̼,0x6e + 0x33c,Consonant,base,,,,,,,,,,,,,,,,,
Interdental nasal,Lower-case N; subscript and superscript bridge,n̪͆,n̪͆,0x6e + 0x32a + 0x346,Consonant,base,,,,,,,,,,,,,,,,,
Alveolar nareal fricative,Lower-case N; superscript dotted tilde,n͋,n͋,0x6e + 0x34b,Consonant,base,,,,,,,,,,,,,,,,,
Velar nareal fricative,Eng; superscript dotted tilde,ŋ͋,ŋ͋,0x14b + 0x34b,Consonant,base,,,,,,,,,,,,,,,,,
Linguolabial lateral approximant,Lower-case L; subscript seagull,l̼,l̼,0x6c + 0x33c,Consonant,base,,,,,,,,,,,,,,,,,
Linguolabial trill,Lower-case R; subscript seagull,r̼,r̼,0x72 + 0x33c,Consonant,base,,,,,,,,,,,,,,,,,
Interdental lateral approximant,Lower-case L; subscript and superscript bridge,l̪͆,l̪͆,0x6c + 0x32a + 0x346,Consonant,base,,,,,,,,,,,,,,,,,
Interdental trill,Lower-case R; subscript and superscript bridge,r̪͆,r̪͆,0x72 + 0x32a + 0x346,Consonant,base,,,,,,,,,,,,,,,,,
Voiceless alveolar lateral fricative,Lower-case LS,ʪ,ʪ,0x2aa,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced alveolar lateral fricative,Lower-case LZ,ʫ,ʫ,0x2ab,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless dentolabial fricative,Lower-case F; superscript bridge,f͆,f͆,0x66 + 0x346,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced dentolabial fricative,Lower-case V; superscript bridge,v͆,v͆,0x76 + 0x346,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless labioalveolar fricative,Lower-case F; subscript equals,f͇,f͇,0x66 + 0x347,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced labioalveolar fricative,Lower-case V; subscript equals,v͇,v͇,0x76 + 0x347,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless linguolabial fricative,Theta; subscript seagull,θ̼,θ̼,0x3b8 + 0x33c,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced linguolabial fricative,Eth; subscript seagull,ð̼,ð̼,0xf0 + 0x33c,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless interdental fricative,Theta; subscript and superscript bridge,θ̪͆,θ̪͆,0x3b8 + 0x32a + 0x346,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced interdental fricative,Eth; subscript and superscript bridge,ð̪͆,ð̪͆,0xf0 + 0x32a + 0x346,Consonant,base,1,,,,,,,,,,,,,,,,
Voiceless bidental fricative,Lower-case H; subscript and superscript bridge,h̪͆,h̪͆,0x68 + 0x32a + 0x346,Consonant,base,0,,,,,,,,,,,,,,,,
Voiced bidental fricative,Hooktop H; subscript and superscript bridge,ɦ̪͆,ɦ̪͆,0x266 + 0x32a + 0x346,Consonant,base,1,,,,,,,,,,,,,,,,
Velopharyngeal fricative,Small letter feng,ʩ,ʩ,0x2a9,Consonant,base,,,,,,,,,,,,,,,,,
